,RT,Response,Stimulus_Orientation,Trial,Trial_Type
0,453.190061884559,1,180,0,Incongruent
1,344.2014970636649,1,180,1,Neutral
2,376.4794732428882,1,0,2,Incongruent
3,368.47397920625724,0,0,3,Neutral
4,408.2945032551848,1,0,4,Incongruent
5,380.3192182443702,1,180,5,Neutral
6,388.4866923416155,1,0,6,Incongruent
7,384.58818485757365,1,0,7,Neutral
8,376.2630740136466,1,180,8,Incongruent
9,332.36801052206033,0,180,9,Incongruent
