,ISI,RT,Response,Stimulus,Trial
0,2000,2000.0408781860717,CR,red,0
1,500,643.3475350964777,FA,red,1
2,1000,561.5421091304497,FA,red,2
3,1500,1081.2065605400853,FA,red,3
4,3000,621.5252264396014,HIT,green,4
